,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,North America,131889132,,1695941.0,,127665129.0,350.0,2528062.0,6095.0,,,,,,North America,,,,,,
1,,Asia,221500265,,1553662.0,,205673091.0,,14273512.0,14733.0,,,,,,Asia,,,,,,
2,,Europe,253406198,,2101824.0,,248754104.0,474.0,2550270.0,4453.0,,,,,,Europe,,,,,,
3,,South America,70200879,,1367332.0,,66683585.0,,2149962.0,8953.0,,,,,,South America,,,,,,
4,,Oceania,14895771,,33015.0,,14752388.0,,110368.0,31.0,,,,,,Australia/Oceania,,,,,,
5,,Africa,12860924,,258892.0,,12090808.0,,511224.0,529.0,,,,,,Africa,,,,,,
6,,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
7,,World,704753890,0.0,7010681.0,0.0,675619811.0,790.0,22123398.0,34794.0,90413.0,899.4,,,,All,,,,,,
8,1.0,USA,111820082,,1219487.0,,109814428.0,,786167.0,940.0,333985.0,3642.0,1186851502.0,3544901.0,334805269.0,North America,3.0,275.0,0.0,,,2348
9,2.0,India,45035393,,533570.0,,,,,,32016.0,379.0,935879495.0,665334.0,1406631776.0,Asia,31.0,2636.0,2.0,,,0.4
10,3.0,France,40138560,,167642.0,,39970918.0,,0.0,,612013.0,2556.0,271490188.0,4139547.0,65584518.0,Europe,2.0,391.0,0.0,,,
11,4.0,Germany,38828995,,183027.0,,38240600.0,,405368.0,,462891.0,2182.0,122332384.0,1458359.0,83883596.0,Europe,2.0,458.0,1.0,,,4833
12,5.0,Brazil,38743918,,711380.0,,36249161.0,,1783377.0,,179908.0,3303.0,63776166.0,296146.0,215353593.0,South America,6.0,303.0,3.0,,,8281
13,6.0,S. Korea,34571873,,35934.0,,34535939.0,,0.0,,673523.0,700.0,15804065.0,307892.0,51329899.0,Asia,1.0,1428.0,3.0,,,
14,7.0,Japan,33803572,,74694.0,,,,,,269169.0,595.0,100414883.0,799578.0,125584838.0,Asia,4.0,1681.0,1.0,,,95582
15,8.0,Italy,26723249,,196487.0,,26361218.0,,165544.0,22.0,443445.0,3261.0,281126449.0,4665010.0,60262770.0,Europe,2.0,307.0,0.0,,,2747
16,9.0,UK,24910387,,232112.0,,24678275.0,,0.0,,363666.0,3389.0,522526476.0,7628357.0,68497907.0,Europe,3.0,295.0,0.0,,,
17,10.0,Russia,24124215,,402756.0,,23545818.0,,175641.0,,165454.0,2762.0,273400000.0,1875095.0,145805947.0,Europe,6.0,362.0,1.0,,,1205
